Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
20/08/2008,Adelaide,7,17,0,1.8,5.1,WSW,43,NNE,NW,9,20,52,39,1023.5,1020.2,NA,NA,11.3,16.4,No,Yes
21/08/2008,Adelaide,8.3,13.4,1.4,2,5.8,SW,57,SSE,SSW,15,17,64,49,1021.9,1023.9,NA,NA,10,12.2,Yes,Yes
22/08/2008,Adelaide,3.3,12.7,2,1.6,8,WSW,37,S,SW,6,15,70,59,1032,1030.7,NA,NA,9.1,12.6,Yes,No
23/08/2008,Adelaide,3.2,14.1,0.8,NA,3.6,WSW,24,N,SW,2,9,82,62,1034.1,1031.7,NA,NA,7.2,13.2,No,No
24/08/2008,Adelaide,2.4,15.1,0,NA,7.4,NNW,20,N,WSW,6,13,68,51,1032.9,1029,NA,NA,9.2,13.5,No,No
25/08/2008,Adelaide,5.4,17.4,0,4.6,9.2,NA,NA,NNE,WNW,13,17,44,29,1024.3,1020.7,NA,NA,13.5,16.5,No,No
26/08/2008,Adelaide,3.6,17.5,0,2.2,10.3,WSW,31,NE,WSW,7,17,46,62,1024,1024.4,NA,NA,12.1,15.5,No,No
27/08/2008,Adelaide,5.7,15.5,0,2.6,10.2,ESE,28,ESE,E,9,13,49,41,1031.2,1028.6,NA,NA,12.1,14.9,No,No
28/08/2008,Adelaide,6.5,18.7,0,2.8,9.6,ESE,24,ENE,WSW,13,13,53,44,1028.7,1024.1,NA,NA,13.2,17.1,No,No
29/08/2008,Adelaide,7.7,17.6,0,2.8,0.5,N,31,NE,NNE,11,15,44,34,1020.6,1015.8,NA,NA,13.7,17.3,No,NA
30/08/2008,Adelaide,10.4,18.6,NA,NA,0.5,N,48,NNE,NW,20,22,76,61,1006.5,1003.8,NA,NA,13.7,17.7,NA,Yes
31/08/2008,Adelaide,9.6,15.2,8.4,NA,6.2,WSW,50,NW,WSW,20,28,75,58,1013.1,1016.3,NA,NA,11.7,13.7,Yes,No
01/09/2008,Adelaide,6.9,17.1,0.8,5.8,2.8,NW,44,NNW,WNW,17,26,76,54,1022.1,1021,NA,NA,10.5,16.4,No,No
02/09/2008,Adelaide,9.1,16.8,1,1.6,9.3,WSW,30,SW,SW,7,15,68,39,1028.2,1028.2,NA,NA,13.8,16.1,No,No
03/09/2008,Adelaide,9.5,16.8,0,3.4,7.5,ESE,37,E,E,19,11,52,37,1033.1,1030.3,NA,NA,13.9,15.8,No,No
04/09/2008,Adelaide,7.5,17.5,0,3,10.3,ESE,35,E,ENE,17,9,36,36,1030.3,1025.6,NA,NA,14.2,16.2,No,No
05/09/2008,Adelaide,5.4,18.8,0,3.2,10.8,W,28,S,SW,6,13,60,34,1023.2,1020.2,NA,NA,12.5,18.2,No,No
06/09/2008,Adelaide,7.4,22.6,0,NA,10.3,N,37,NE,WNW,13,17,47,24,1020,1016.4,NA,NA,16.6,22,No,NA
07/09/2008,Adelaide,11.3,17,NA,NA,2.7,ESE,39,NNE,NNE,7,9,88,75,1021,1020.2,NA,NA,12.9,14.8,NA,No
08/09/2008,Adelaide,8.3,18,1,7.6,10.8,SE,31,NNW,WSW,6,17,58,48,1026.8,1024.8,NA,NA,13.8,16.9,No,No
09/09/2008,Adelaide,5.8,19.8,0,2.8,10.9,WSW,22,NE,SW,9,13,49,29,1028.1,1023.8,NA,NA,14.1,19,No,No
10/09/2008,Adelaide,10.6,21.9,0,3.4,6.4,N,31,N,NNW,15,19,34,33,1020,1015,NA,NA,16.7,20,No,No
11/09/2008,Adelaide,13.9,24.9,1,3.4,8.3,N,41,N,NW,19,20,39,31,1009.4,1005,NA,NA,19.2,24.2,No,No
12/09/2008,Adelaide,10.6,21.3,0,4.4,9.4,WNW,44,NNW,WNW,11,20,78,46,1006.6,1005.1,NA,NA,14.3,20.5,No,No
13/09/2008,Adelaide,11.8,28.4,0,NA,10.9,NNW,57,NNE,NW,11,31,38,14,1005.5,998.6,NA,NA,20.5,27.7,No,NA
14/09/2008,Adelaide,10.8,17.5,NA,NA,8.2,WSW,52,WNW,NW,24,26,68,44,1008.3,1005.9,NA,NA,13.6,16.6,NA,Yes
15/09/2008,Adelaide,8.3,14.7,2.8,14.4,5,W,74,WNW,WSW,26,33,81,43,1005.2,1009.6,NA,NA,9.8,14.1,Yes,No
16/09/2008,Adelaide,7.7,15.3,0.4,3.6,6.4,SW,39,SW,WSW,13,13,68,44,1024.6,1024.3,NA,NA,10.8,14,No,No
17/09/2008,Adelaide,6.4,21,0,2.6,9.9,N,41,NNE,NNE,17,17,37,26,1022.8,1017.1,NA,NA,15.1,20.6,No,No
18/09/2008,Adelaide,14.9,24.8,0,5.4,6.8,NE,44,NE,WNW,13,20,21,15,1010.5,1007.4,NA,NA,17.8,24.6,No,No
19/09/2008,Adelaide,10.5,22.2,0,4.4,10.3,WNW,35,N,SW,11,13,51,54,1008.1,1009.1,NA,NA,18.4,19.2,No,Yes
20/09/2008,Adelaide,10.7,17.3,1.6,NA,7,SW,43,W,WSW,22,20,72,47,1014.9,1016.3,NA,NA,14.7,16.2,Yes,No
21/09/2008,Adelaide,7.4,22.5,0,NA,9.3,N,35,N,NW,17,19,55,30,1016.4,1010.4,NA,NA,14.6,22.1,No,No
22/09/2008,Adelaide,13.1,15,0,12,2.6,SW,65,SSW,SSW,22,20,67,63,1005.2,1011.6,NA,NA,14.6,11.3,No,Yes
23/09/2008,Adelaide,9.5,16.8,6.2,2.6,10.5,SW,35,W,SW,20,15,57,51,1024.7,1026.1,NA,NA,13.9,16.7,Yes,No
24/09/2008,Adelaide,6.4,19.4,0,3.4,9.4,NNE,28,NW,NW,9,13,58,38,1032.1,1027.5,NA,NA,13.7,19,No,No
25/09/2008,Adelaide,7.5,23.9,0,3,11,NNW,41,N,WNW,22,22,30,22,1025.2,1019.7,NA,NA,18.1,23.2,No,No
26/09/2008,Adelaide,14,28,0,5.6,11.5,NNW,39,N,NNW,15,17,18,11,1020.1,1016.2,NA,NA,21.3,27.3,No,No
27/09/2008,Adelaide,14.3,33.7,0,NA,10,W,65,N,NNW,19,31,11,9,1012.2,1005.8,NA,NA,25.3,33.2,No,No
28/09/2008,Adelaide,12.4,19.1,0,NA,6,SW,39,WSW,WSW,9,17,73,60,1020.3,1019,NA,NA,13.9,16.9,No,Yes
29/09/2008,Adelaide,9.1,16.7,1.2,16.4,11.4,WSW,31,S,W,9,19,47,40,1024.2,1022.2,NA,NA,14.8,15.7,Yes,No
30/09/2008,Adelaide,6.2,22.8,0,3.6,9.7,NE,39,NNE,NNE,13,11,41,25,1021.4,1015.6,NA,NA,15.1,22.1,No,No
01/10/2008,Adelaide,15,27.2,0,6.8,7.7,NNW,65,NNE,W,22,24,14,48,1006.9,1007.1,NA,NA,21.1,23.7,No,No
02/10/2008,Adelaide,15,24.8,0,4,8.6,W,28,WNW,W,7,13,67,38,1016,1012.1,NA,NA,16.8,23.9,No,No
03/10/2008,Adelaide,12.2,20.4,0.4,4.2,0.7,SW,31,ENE,SW,2,19,76,79,1015,1013.8,NA,NA,16.3,16.2,No,NA
04/10/2008,Adelaide,8.1,17.3,NA,NA,11.7,WSW,31,S,W,9,17,46,42,1019.4,1017.7,NA,NA,14,16.4,NA,NA
05/10/2008,Adelaide,6.6,22.8,NA,NA,11.8,WNW,33,NE,W,7,13,42,24,1017,1012.7,NA,NA,15.7,22.4,NA,NA
06/10/2008,Adelaide,11.2,NA,NA,NA,8.7,NA,NA,SW,SW,22,20,66,34,1021.3,1023.2,NA,NA,12.1,15.3,NA,Yes
07/10/2008,Adelaide,NA,16.4,2.8,14,3.9,NA,NA,NA,WSW,NA,19,NA,47,NA,1023.5,NA,NA,NA,15.1,Yes,No
08/10/2008,Adelaide,7.6,18.1,0.2,2.6,8.5,WSW,30,NNE,W,6,19,91,48,1025.8,1024.9,NA,NA,11.1,16.7,No,Yes
09/10/2008,Adelaide,8.5,21.1,1.2,2.6,12,W,28,NNE,SW,4,15,60,41,1027.8,1024.6,NA,NA,14.3,20.5,Yes,No
10/10/2008,Adelaide,9.2,26.6,0,4.6,12.1,N,28,NE,NW,15,11,36,19,1026.1,1023.6,NA,NA,19.2,25.8,No,No
11/10/2008,Adelaide,10.7,29.1,0,NA,12,NNW,35,WSW,NW,7,19,46,15,1023.7,1020.5,NA,NA,17.6,27.7,No,No
12/10/2008,Adelaide,13.4,31.9,0.6,NA,8.8,NNW,54,N,NW,19,28,12,8,1015.7,1011,NA,NA,24.1,30.4,No,No
13/10/2008,Adelaide,13,19,0,19,11.1,SSW,39,SW,SW,17,19,54,40,1020.8,1021.2,NA,NA,14.6,18.5,No,No
14/10/2008,Adelaide,9,18.4,0,5,6.2,SW,37,SSE,SW,15,19,44,38,1027.2,1026.2,NA,NA,13.3,17.6,No,No
15/10/2008,Adelaide,8.3,19.8,0,4,10.7,WSW,35,SSW,SW,9,19,59,49,1029.2,1025.9,NA,NA,13.8,18.8,No,No
16/10/2008,Adelaide,9.5,25.5,0,4.4,12.1,SW,26,S,WSW,2,15,61,28,1025.1,1020.5,NA,NA,15.5,24.8,No,No
17/10/2008,Adelaide,12.8,31,0,5.2,12,N,30,N,W,6,13,33,13,1020.3,1017.3,NA,NA,22,30.5,No,No
18/10/2008,Adelaide,16,34.6,0,NA,9.5,WNW,30,NE,WNW,11,19,17,5,1017.6,1016.1,NA,NA,25.6,33.8,No,No
19/10/2008,Adelaide,13.6,22.2,0,NA,12.4,SSE,35,SSE,S,15,13,62,46,1023.1,1023.3,NA,NA,17.5,21.7,No,No
20/10/2008,Adelaide,10.4,20.7,0,18.8,NA,SSE,33,SE,SSE,17,17,51,30,1029.3,1027.5,NA,NA,14.3,20.2,No,No
21/10/2008,Adelaide,9.4,20.3,0,5.4,12.6,SSE,35,SE,SSE,7,15,47,31,1030.9,1029.9,NA,NA,13.9,19.7,No,No
22/10/2008,Adelaide,9.5,20.7,0,5.6,10.6,SE,31,E,WSW,9,20,47,34,1032.5,1028.8,NA,NA,12.9,18.6,No,No
23/10/2008,Adelaide,11.2,26.6,0,4.4,5.1,ENE,26,NA,NNW,0,6,54,14,1027.2,1023.1,NA,NA,15.7,24.5,No,No
24/10/2008,Adelaide,15.7,30.9,0,4.4,11.7,W,35,N,WNW,11,17,9,5,1019.8,1015.9,NA,NA,24.1,30.3,No,No
25/10/2008,Adelaide,17.6,34.7,0,NA,3.5,NNW,41,NNE,N,17,17,5,6,1010.8,1006.5,NA,NA,26.4,33.7,No,No
26/10/2008,Adelaide,17.1,23.7,0,NA,6.9,WNW,50,SSE,WNW,15,20,64,44,1006.2,1008.1,NA,NA,18.1,22.3,No,Yes
27/10/2008,Adelaide,13.6,20.1,2.8,20,5.5,W,35,SW,SSW,13,13,83,46,1016.7,1017.9,NA,NA,14.6,18.5,Yes,No
28/10/2008,Adelaide,9.1,24.1,0,3.2,12.8,ESE,43,NNW,E,7,13,53,34,1024.4,1020.8,NA,NA,15.4,22.3,No,No
29/10/2008,Adelaide,14.5,26.8,0,6.6,NA,ESE,46,ENE,N,19,17,44,25,1018.5,1014.6,NA,NA,19.1,25.9,No,No
30/10/2008,Adelaide,18.7,29.8,0,NA,12.2,SW,46,NNW,W,15,24,24,28,1009.1,1009.3,NA,NA,25.1,28.7,No,No
31/10/2008,Adelaide,14.3,18.1,0,7.6,12.1,W,46,SSW,SW,20,17,73,60,1018.1,1020,NA,NA,15.4,17.5,No,NA
01/11/2008,Adelaide,12.8,26.2,NA,NA,NA,E,39,E,ESE,19,11,56,34,1022.3,1018.1,NA,NA,15.7,23.8,NA,Yes
02/11/2008,Adelaide,15.4,26.3,1.4,NA,6.2,SW,44,E,WSW,11,24,82,55,1014,1012.9,NA,NA,18.8,23.7,Yes,No
03/11/2008,Adelaide,13.3,21.2,0,15.2,10,SSE,39,SSW,SE,15,20,50,39,1021.9,1020.1,NA,NA,14.8,19.9,No,No
04/11/2008,Adelaide,11.6,25.9,0,5.8,9,E,44,E,NE,13,9,54,26,1019.5,1012.9,NA,NA,15.1,25,No,No
05/11/2008,Adelaide,14.6,23.9,0.8,4.8,9.7,W,44,NW,SW,17,20,85,45,1009.7,1010.8,NA,NA,17.6,21,No,No
06/11/2008,Adelaide,12.2,29.5,0,6,8.6,NNE,50,NNE,WSW,6,7,51,17,1011.6,1007.3,NA,NA,18.7,28.8,No,No
07/11/2008,Adelaide,18.3,22.5,0.2,8,1.4,WNW,56,N,WNW,17,28,58,51,1001,1004.7,NA,NA,22.4,18.4,No,Yes
08/11/2008,Adelaide,12.5,19,1.6,NA,4.7,WSW,48,WSW,SW,20,24,60,42,1013.1,1015.6,NA,NA,14.9,17.7,Yes,No
09/11/2008,Adelaide,12.7,22.7,0.2,NA,9.2,NW,30,WSW,WSW,15,17,58,43,1021.5,1020.7,NA,NA,17,22.3,No,No
10/11/2008,Adelaide,11.3,28.6,0,13,12.9,WSW,24,W,W,6,13,57,25,1023.5,1020.4,NA,NA,18.8,27.2,No,No
11/11/2008,Adelaide,17.5,34.5,0,6.6,11.7,N,39,NNE,WNW,13,20,25,8,1017,1013.2,NA,NA,26.8,33.5,No,No
12/11/2008,Adelaide,24.1,36.6,0,11.4,9.9,E,44,NNE,N,15,17,12,7,1011.2,1006.5,NA,NA,31.3,36.2,No,No
13/11/2008,Adelaide,22.5,26.2,0,10.2,11.3,W,44,WSW,WSW,11,17,49,56,1006.6,1008.6,NA,NA,24.8,22,No,No
14/11/2008,Adelaide,14,20.7,0,5.6,11.1,SW,41,SSW,SW,15,22,60,42,1016.1,1015.7,NA,NA,16.4,19.8,No,No
15/11/2008,Adelaide,11.4,20.2,0,NA,12.3,SW,43,S,SW,9,22,49,37,1020.6,1020.1,NA,NA,16.1,20.2,No,No
16/11/2008,Adelaide,11.8,23,0,NA,9.2,ESE,39,E,ESE,11,15,56,32,1023.3,1019.4,NA,NA,15,21.3,No,No
17/11/2008,Adelaide,12.6,27.8,0,16.4,10.8,ESE,41,E,ENE,9,9,30,15,1017.2,1012.5,NA,NA,19.1,26.3,No,Yes
18/11/2008,Adelaide,15.7,22.2,1.4,7.2,0.8,ESE,41,SE,ESE,11,13,59,40,1012.7,1009.5,NA,NA,17.2,21.8,Yes,No
19/11/2008,Adelaide,16.8,25.1,0,5.2,1.1,NA,NA,WNW,SW,2,15,47,49,1007.6,1006.1,NA,NA,18.8,21,No,No
20/11/2008,Adelaide,13.8,20.5,0.6,3.4,8.8,WSW,35,S,SW,15,19,62,41,1010.4,1008.4,NA,NA,15.6,19.9,No,No
21/11/2008,Adelaide,12.7,19.9,0,6.2,4.3,SW,54,WSW,SW,13,31,50,60,1005.2,1003.5,NA,NA,16.6,16.9,No,Yes
22/11/2008,Adelaide,8.1,17.1,5,NA,10.7,SW,54,SSW,SW,20,28,50,46,1009.4,1009.3,NA,NA,12.5,15,Yes,No
23/11/2008,Adelaide,8.7,22.3,0,NA,12.1,WSW,39,SSW,WSW,9,20,49,38,1013.1,1007.8,NA,NA,14.8,20.9,No,No
24/11/2008,Adelaide,14.1,28.3,0,15.4,11.5,ESE,44,WSW,SW,11,13,48,26,1009.8,1006.1,NA,NA,18.4,26.7,No,No
25/11/2008,Adelaide,18.3,31.5,0,9.8,8.1,ESE,50,ENE,NNE,19,17,26,12,1007.8,1005.5,NA,NA,21.7,30.1,No,No
26/11/2008,Adelaide,17.3,27.9,0,7.2,12.5,WNW,33,N,WSW,7,17,45,31,1005.7,1005,NA,NA,23.7,26.7,No,No
27/11/2008,Adelaide,16.2,25.2,0,7.6,7.7,WSW,37,N,SW,9,20,63,47,1005.1,1004.7,NA,NA,19.2,22.5,No,Yes
28/11/2008,Adelaide,14.2,20.3,2.6,3.6,4.9,WSW,41,ENE,SSW,6,15,70,51,1005.3,1007.2,NA,NA,17.3,18.6,Yes,No
29/11/2008,Adelaide,11.6,21,0,NA,13.3,WSW,41,SW,WSW,17,24,57,33,1014.3,1014.7,NA,NA,16.3,20.5,No,No
30/11/2008,Adelaide,11.4,25.2,0,9.6,11.1,SW,41,NNW,W,13,22,60,27,1013.7,1010.6,NA,NA,16.9,24.2,No,No
01/12/2008,Adelaide,12.6,21.3,0,6.8,9.6,WSW,33,WSW,SW,20,17,46,44,1012.8,1012.1,NA,NA,17.1,20.2,No,No
02/12/2008,Adelaide,13,23.2,0,5.4,11.3,SW,35,WNW,W,13,17,62,33,1013.1,1010.8,NA,NA,17.3,22.7,No,No
03/12/2008,Adelaide,13.8,23.8,0,6,11,WNW,30,SW,WSW,11,15,57,39,1013.7,1013.7,NA,NA,17.5,22.3,No,No
04/12/2008,Adelaide,16.7,25,0,6,0.1,N,48,NE,N,22,19,31,56,1010.4,1008.4,NA,NA,21.9,22.7,No,No
05/12/2008,Adelaide,18,23.2,1,2.2,3.5,WNW,37,W,W,22,22,65,52,1010.8,1011,NA,NA,19.1,22.5,No,No
06/12/2008,Adelaide,13.2,23.1,0,NA,6,SW,33,S,SW,4,13,75,60,1011.9,1011.3,NA,NA,17.7,19.7,No,No
07/12/2008,Adelaide,12.5,20.8,0,NA,10.2,SW,43,SSW,WSW,13,20,49,40,1016.7,1014.9,NA,NA,14.7,19.5,No,No
08/12/2008,Adelaide,9.4,29.3,0,14.4,11.6,NW,31,N,W,11,9,43,16,1014.9,1009.1,NA,NA,17,27.1,No,Yes
09/12/2008,Adelaide,16.7,26.2,1.4,6.6,7.4,ESE,39,NE,ESE,11,22,55,37,1001.9,1003.6,NA,NA,22.6,25.1,Yes,No
10/12/2008,Adelaide,14.2,28,0,6.4,12.5,SE,48,E,SE,13,13,56,35,1010.8,1008.9,NA,NA,19.3,25.6,No,No
11/12/2008,Adelaide,18.3,29.3,0,8.2,5.3,ESE,41,NE,NE,11,17,31,22,1010,1007.4,NA,NA,22.8,27.6,No,Yes
12/12/2008,Adelaide,17.3,20.7,9.8,4,NA,WSW,43,NA,SW,NA,19,95,97,1001.5,994.7,NA,NA,18.7,18.3,Yes,Yes
13/12/2008,Adelaide,14.7,19.8,23.6,NA,3.1,SW,41,SW,S,17,13,78,60,1006.9,1008.6,NA,NA,16.7,18.4,Yes,No
14/12/2008,Adelaide,12.1,20.4,0.6,NA,7,WSW,41,SSW,S,15,13,60,63,1014.2,1014.7,NA,NA,14.9,16.5,No,No
15/12/2008,Adelaide,9.8,24.3,0,13.2,12.3,WSW,28,NNW,WSW,11,15,57,38,1016.3,1014.4,NA,NA,16,21.8,No,No
16/12/2008,Adelaide,15.5,25.9,0,6.4,7.5,SW,26,W,WSW,7,9,65,43,1015.5,1012,NA,NA,18.4,25.1,No,No
17/12/2008,Adelaide,18,29.3,0,5.6,8.7,WSW,24,NE,WSW,9,9,51,36,1009.7,1005.6,NA,NA,22.3,27.9,No,No
18/12/2008,Adelaide,16,22.6,0,6,10.7,SW,46,SW,SW,20,26,71,49,1010.2,1011.1,NA,NA,17.3,21.4,No,No
19/12/2008,Adelaide,11.1,24.1,0,7,12.2,ESE,39,SE,SE,15,17,46,29,1018.2,1016.5,NA,NA,16.7,23.3,No,No
20/12/2008,Adelaide,15.7,30.5,0,NA,12.6,ESE,43,ENE,ENE,17,11,33,21,1018.9,1015,NA,NA,21.1,28.3,No,No
21/12/2008,Adelaide,21.1,34.5,0,NA,8.2,N,43,ENE,N,15,19,20,9,1011.4,1007.5,NA,NA,24.9,33.7,No,No
